fullDisplayName,category,assessment,columnHeader,description
3T Resting State fMRI Count,Study Completion,Study Completion: 3T MR,3T_RS-fMRI_Count,Number of 3T resting state scans collected
3T Resting State fMRI Percent Complete,Study Completion,Study Completion: 3T MR,3T_RS-fMRI_PctCompl,Percentage of 3T Resting State fMRI Scans Complete (100%=4800 timepoints)
Full 3T Task fMRI Protocol Completed,Study Completion,Study Completion: 3T MR,3T_Full_Task_fMRI,"Full 3T task fMRI protocol was completed, all scans, all timepoints (True or False)"
3T Task fMRI Percent Complete (Over all tasks),Study Completion,Study Completion: 3T MR,3T_tMRI_PctCompl,Percentage of 3T Task fMRI Protocol Complete (Over all tasks)
3T Task fMRI Protocol Completed,Study Completion,Study Completion: 3T MR,fMRI_WM_Compl,"Working Memory task fMRI protocol was completed, all scans, all timepoints (True or False)"
3T Task fMRI Protocol Completed,Study Completion,Study Completion: 3T MR,fMRI_Gamb_Compl,"Gambling task fMRI protocol was completed, all scans, all timepoints (True or False)"
3T Task fMRI Protocol Completed,Study Completion,Study Completion: 3T MR,fMRI_Mot_Compl,"Motor task fMRI protocol was completed, all scans, all timepoints (True or False)"
3T Task fMRI Protocol Completed,Study Completion,Study Completion: 3T MR,fMRI_Lang_Compl,"Language task fMRI protocol was completed, all scans, all timepoints (True or False)"
3T Task fMRI Protocol Completed,Study Completion,Study Completion: 3T MR,fMRI_Soc_Compl,"Social task fMRI protocol was completed, all scans, all timepoints (True or False)"
3T Task fMRI Protocol Completed,Study Completion,Study Completion: 3T MR,fMRI_Rel_Compl,"Relational task fMRI protocol was completed, all scans, all timepoints (True or False)"
3T Task fMRI Protocol Completed,Study Completion,Study Completion: 3T MR,fMRI_Emo_Compl,"Emotion task fMRI protocol was completed, all scans, all timepoints (True or False)"
3T Task fMRI - Working Memory Percent Complete,Study Completion,Study Completion: 3T MR,fMRI_WM_PctCompl,Percentage of Working memory task fMRI complete
3T Task fMRI - Gambling Percent Complete,Study Completion,Study Completion: 3T MR,fMRI_Gamb_PctCompl,Percentage of Gambling task fMRI complete
3T Task fMRI - Motor Percent Complete,Study Completion,Study Completion: 3T MR,fMRI_Mot_PctCompl,Percentage of Motor task fMRI complete
3T Task fMRI - Language Percent Complete,Study Completion,Study Completion: 3T MR,fMRI_Lang_PctCompl,Percentage of Language task fMRI complete
3T Task fMRI - Social Cognition Percent Complete,Study Completion,Study Completion: 3T MR,fMRI_Soc_PctCompl,Percentage of Social cognition task fMRI complete
3T Task fMRI - Relational Processing Percent Complete,Study Completion,Study Completion: 3T MR,fMRI_Rel_PctCompl,Percentage of Relational processing task fMRI complete
3T Task fMRI - Emotion Processing Percent Complete,Study Completion,Study Completion: 3T MR,fMRI_Emo_PctCompl,Percentage of Emotion processing task fMRI complete
3T Diffusion MRI Completed,Study Completion,Study Completion: 3T MR,3T_dMRI_Compl,"Full 3T diffusion MRI protocol complete, all scans, all directions (True or False)"
3T Diffusion MRI Percent Complete,Study Completion,Study Completion: 3T MR,3T_dMRI_PctCompl,Percentage of 3T Diffusion MRI Protocol Complete
3T MR dMRI Recon Version,Study Completion,Image Reconstruction Info: 3T MR,dMRI_3T_ReconVrs,"Version of image reconstruction algorithm used to reconstruct data. r177 is earlier version, r227 is improved version implemented in mid-Quarter 3."
3T MR fMRI Recon Version,Study Completion,Image Reconstruction Info: 3T MR,fMRI_3T_ReconVrs,"Version of image reconstruction algorithm used to reconstruct data. r177 is earlier version, r227 is improved version implemented in mid-Quarter 3."
Full 7T Imaging Protocol Completed,Study Completion,Study Completion: 7T MR,7T_Full_MR_Compl,"Full HCP 7T MRI protocol was completed, all scans, all timepoints (True or False)"
7T Resting State fMRI Count,Study Completion,Study Completion: 7T MR,7T_RS-fMRI_Count,Number of 7T resting state scans collected
7T Resting State fMRI Percent Complete,Study Completion,Study Completion: 7T MR,7T_RS-fMRI_PctCompl,Percentage of 7T Resting State fMRI Scans Complete (100%= all timepoints)
Full 7T Task fMRI Protocol Completed,Study Completion,Study Completion: 7T MR,7T_Full_Task_fMRI,"Full 7T task fMRI protocol was completed, all scans, all timepoints (True or False)"
7T Task fMRI Percent Complete (Over all tasks),Study Completion,Study Completion: 7T MR,7T_tMRI_PctCompl,Percentage of 7T Task fMRI Protocol Complete (Over all tasks)
Full 7T Task fMRI Movie Protocol Completed,Study Completion,Study Completion: 7T MR,fMRI_Movie_Compl,Full Movie task fMRI protocol completed (True or False)
7T Task fMRI - Movie (All scans) Percent Complete,Study Completion,Study Completion: 7T MR,fMRI_Movie_PctCompl,Percentage of Movie (All scans) task fMRI complete
Full 7T Task fMRI Retinotopy Protocol Completed,Study Completion,Study Completion: 7T MR,fMRI_Ret_Compl,Full Retinotopy task fMRI protocol completed (True or False)
7T Task fMRI - Retinotopy (All scans) Percent Complete,Study Completion,Study Completion: 7T MR,fMRI_Ret_PctCompl,Percentage of Retinotopy (All scans) task fMRI complete
7T Diffusion MRI Completed,Study Completion,Study Completion: 7T MR,7T_dMRI_Compl,Full 7T diffusion MRI protocol complete (True or False)
7T Diffusion MRI Percent Complete,Study Completion,Study Completion: 7T MR,7T_dMRI_PctCompl,Percentage of 7T diffusion MRI protocol complete
7T MR fMRI Movie Task Version,Study Completion,Task Version Info: 7T MR,7T_fMRI_Mov_Vrs,"Version of Movie stimuli displayed to subject. 1 is earlier version, 2 is improved version implemented mid-collection. In the first version (1) , the validation clip at the end of each run was not synched to be at a consistent time relative to the TR. In the second version (2), we shifted the final 80 seconds of each 15 minute movie by 0-200ms, depending on the movie to ensure the validation clip at the end of each run started at a consistent time relative to the TR and that all the movies end exactly on the TR (second)."
Any MEG Data Available,Study Completion,Study Completion: MEG,MEG_AnyData,Any MEG data available for subject? (True or False)
Full Protocol Complete,Study Completion,Study Completion: MEG,MEG_FullProt_Compl,Full MEG protocol is complete (True or False)
Head Model Available,Study Completion,Study Completion: MEG,MEG_HeadModel_Avail,MEG Head Model Available (True or False)
Cortical Ribbon Available,Study Completion,Study Completion: MEG,MEG_CortRibn_Avail,MEG cortical ribbon is available (True or False)
Anatomy Data Available,Study Completion,Study Completion: MEG,MEG_Anatomy_Avail,MEG anatomy data is available (True or False)
Anatomy Data Complete,Study Completion,Study Completion: MEG,MEG_Anatomy_Compl,MEG anatomy data is available (True or False)
Noise Data Available,Study Completion,Study Completion: MEG,MEG_Noise_Avail,MEG noise data is available (True or False)
Noise Data Complete,Study Completion,Study Completion: MEG,MEG_Noise_Compl,MEG noise data is complete (True or False)
Resting State Data Available,Study Completion,Study Completion: MEG,MEG_RS_Avail,MEG resting state data is available (True or False)
Resting State Data Complete,Study Completion,Study Completion: MEG,MEG_RS_Compl,MEG resting state data is complete (True or False)
Working Memory Data Available,Study Completion,Study Completion: MEG,MEG_WM_Avail,MEG working memory data is available (True or False)
Working Memory Data Complete,Study Completion,Study Completion: MEG,MEG_WM_Compl,MEG working memory data is complete (True or False)
Story Math Data Available,Study Completion,Study Completion: MEG,MEG_StoryMath_Avail,MEG story math data is available (True or False)
Story Math Data Complete,Study Completion,Study Completion: MEG,MEG_StoryMath_Compl,MEG story math data is complete (True or False)
Motor Data Available,Study Completion,Study Completion: MEG,MEG_Motor_Avail,MEG motor data is available (True or False)
Motor Data Complete,Study Completion,Study Completion: MEG,MEG_Motor_Compl,MEG motor data is complete (True or False)
Full Non-Toolbox Battery Completed,Study Completion,Study Completion: Behavior,Non-TB_Compl,Full non-NIH Toolbox behavioral battery was completed (True or False)
Visual Processing Completed,Study Completion,Study Completion: Behavior,VisProc_Compl,Mars Contrast Sensitivity Test (Visual Processing) was completed (True or False)
Delay Discounting Completed,Study Completion,Study Completion: Behavior,DelDisc_Compl,Self-regulation/Impulsivity (Delay Discounting) assessment was completed (True or False)
Short Penn Continuous Performance Test (SCPT) Completed,Study Completion,Study Completion: Behavior,SCPT_Compl,Short Penn Continuous Performance Test (SCPT) (Sustained Attention) was completed (True or False)
Penn Word Memory Test (IWRD) Completed,Study Completion,Study Completion: Behavior,IWRD_Compl,Penn Word Memory Test (IWRD) (Verbal Episodic Memory) was completed (True or False)
Penn Matrix Test (PMAT) Completed,Study Completion,Study Completion: Behavior,PMAT_Compl,Fluid Intelligence (Penn Progressive Matrices) was completed (True or False)
Variable Short Penn Line Orientation Test (VSPLOT) Completed,Study Completion,Study Completion: Behavior,VSPLOT_Compl,Spatial Orientation (Variable Short Penn Line Orientation Test) was completed (True or False)
Emotion Recognition (Penn Emotion Recognition Test) Completed,Study Completion,Study Completion: Behavior,EmoRecog_Compl,Emotion Recognition (Penn Emotion Recognition Test) was completed (True or False)
Five Factor Model (NEO-FFI) Completed,Study Completion,Study Completion: Behavior,NEO-FFI_Compl,Five Factor Model (NEO-FFI) was completed (True or False)
Achenbach Adult Self Report (ASR) - Syndrome Scale Completed,Study Completion,Study Completion: Behavior,ASR-Syn_Compl,Achenbach Adult Self Report (ASR) - Syndrome Scale was completed (True or False)
Achenbach Adult Self Report (ASR) - DSM-Oriented Scale Completed,Study Completion,Study Completion: Behavior,ASR-DSM_Compl,Achenbach Adult Self Report (ASR) - DSM-Oriented Scale was completed (True or False)
Full NIH Toolbox Battery Completed,Study Completion,Study Completion: Behavior,Toolbox_Compl,Full NIH Toolbox behavioral battery was completed (True or False)
Mini Mental State Examination (MMSE) Completed,Study Completion,Study Completion: Behavior,MMSE_Compl,Mini Mental State Examination (MMSE) was completed (True or False)
Pittsburgh Sleep Quality Index (PSQI) Completed,Study Completion,Study Completion: Behavior,PSQI_Compl,Pittsburgh Sleep Quality Index (PSQI) was completed (True or False)
Full Alertness Battery Completed,Study Completion,Study Completion: Behavior,Alert_Compl,Full alertness battery was completed (True or False)
Alcohol and Smoking Questionnaire (ASQ) Completed,Study Completion,Study Completion: Behavior,ASQ_Compl,Alcohol and Smoking Questionnaire (ASQ) was completed (True or False)
Family Psychiatric and Neuro.,Study Completion,Study Completion: Behavior,FamPsychNeuro_Compl,Family Psychiatric and Neurological History Data (FAMHIST) was completed (True or False)
Full SSAGA Battery Completed,Study Completion,Study Completion: Behavior,SSAGA_Compl,SSAGA behavioral battery was completed (True or False)
SSAGA Demographics Completed,Study Completion,Study Completion: Behavior,SSAGA_Demo_Compl,SSAGA Health and Demographic data was completed (True or False)
SSAGA Mental Health Completed,Study Completion,Study Completion: Behavior,SSAGA_Mental_Compl,SSAGA Mental Health data was completed (True or False)
SSAGA Alcohol Use and Dependence Completed,Study Completion,Study Completion: Behavior,SSAGA_Alc_Compl,SSAGA Alcohol Use and Dependence data was completed (True or False)
SSAGA Illicit Drug Use and Dependence Completed,Study Completion,Study Completion: Behavior,SSAGA_Illicit_Compl,SSAGA Illicit Drug Use and Dependence data was completed (True or False)
SSAGA Tobacco Use and Dependence Completed,Study Completion,Study Completion: Behavior,SSAGA_Tob_Compl,SSAGA Tobacco Use and Dependence data was completed (True or False)
SSAGA Marijuana Use and Dependence Completed,Study Completion,Study Completion: Behavior,SSAGA_Mj_Compl,SSAGA Marijuana Use and Dependence data was completed (True or False)
Coded QC Issue,QC Issues,Quality Control Issue Noted,QC_Issue,"Subjects with notable issues (coded A-E) found in the HCP Quality Control process. For more information, see the <a href=\https://wiki.humanconnectome.org/x/14dMBQ\"">QC Issues wiki</a>:  A= Focal anatomical anomaly (e.g. calcification, cavernoma, cyst, etc.) found in T1w and/or T2w scans in a restricted brain region; B= Focal segmentation or surface   error(s) in outputs from the HCP Structural pipeline; C= Subject data collected during period of known intermittent problems with head coil leading to temporal instability in acquisitions; D= One or more rfMRI scans contained significant coil- or movement-related artifact which manifests prominently in the \""minimally preprocessed\"" data. FIX cleaned data has been confirmed to be reasonable for all these scans; E= Manual reclassification of some of the FIX-ICA components from 'signal' to 'noise' was necessary to appropriately remove artifact from the FIX-denoised rfMRI scans."
MR Session Scanner,MR Sessions,Session Information,MRsession_Scanner,Scanner used for a particular MR session
MR Session Scans,MR Sessions,Session Information,MRsession_Scans,Scans acquired for a subject. Numbers in parentheses indicate the scan count for each type of scan.
MR Session Label,MR Sessions,Session Information,MRsession_Label,Subject specific label for the MRI session. These labels link to a subject specific session page with details on the scans collected.
3T MR Session Scanner,MR Sessions,Session Information,MRsession_Scanner_3T,Scanner used for a particular 3T MR session
3T MR Session Scans,MR Sessions,Session Information,MRsession_Scans_3T,Scans acquired for a subject. Numbers in parentheses indicate the scan count for each type of scan.
3T MR Session Label,MR Sessions,Session Information,MRsession_Label_3T,Subject specific label for the MRI session. These labels link to a subject specific session page with details on the scans collected.
7T MR Session Scanner,MR Sessions,Session Information,MRsession_Scanner_7T,Scanner used for a particular MR session
7T MR Session Scans,MR Sessions,Session Information,MRsession_Scans_7T,Scans acquired for a subject. Numbers in parentheses indicate the scan count for each type of scan.
7T MR Session Label,MR Sessions,Session Information,MRsession_Label_7T,Subject specific label for the MRI session. These labels link to a subject specific session page with details on the scans collected.
MEG Session Scanner,MEG Sessions,Session Information,MEGsession_Scanner,Scanner used for a particular MEG session
MEG Session Scans,MEG Sessions,Session Information,MEGsession_Scans,MEG scans acquired for a subject. Numbers in parentheses indicate the scan count for each type of scan.
MEG Session Label,MEG Sessions,Session Information,MEGsession_Label,Subject specific label for the MEG session. These labels link to a subject specific session page with details on the scans collected.
MEG Alpha Peak,MEG Subjects,Peaks,Alpha_Peak,Median value for the estimated peak alpha frequency for the subject across all tMEG and rMEG sensor groups and conditions  
MEG Beta Peak,MEG Subjects,Peaks,Beta_Peak,Median value for the estimated peak beta frequency for the subject across all tMEG and rMEG sensor groups and conditions  
Height,Health and Family History,Physical Health,Height,Height of Participant in Inches
Weight,Health and Family History,Physical Health,Weight,Weight of Participant in Pounds
Body Mass Index,Health and Family History,Physical Health,BMI,BMI = 703 * (weight (lb) / (height in.)^2)
BMI Category,Health and Family History,Physical Health,SSAGA_BMICat,Participant's current self-reported BMI category: lean/underweight = 1; overweight = 2; obese = 3 ; obese II or III (BMI>=35) = 4
BMI Category Heaviest,Health and Family History,Physical Health,SSAGA_BMICatHeaviest,Participant's self-reported BMI category for their heaviest period: lean/underweight = 1; overweight = 2; obese = 3 ; obese II or III (BMI>=35) = 4
Blood Drawn,Health and Family History,Physical Health,Blood_Drawn,"Was blood drawn from participant for hematocrit, TSH and HBA1C testing?  Yes = 1, No = 2"
Hematocrit Sample 1,Health and Family History,Physical Health,Hematocrit_1,Blood sample 1 percentage of total blood volume that are red blood cells. The normal range is 38.8 to 50 percent for men and 34.9 to 44.5 percent for women.
Hematocrit Sample 2,Health and Family History,Physical Health,Hematocrit_2,Blood sample 2 percentage of total blood volume that are red blood cells. The normal range is 38.8 to 50 percent for men and 34.9 to 44.5 percent for women.
Blood Pressure - Systolic,Health and Family History,Physical Health,BPSystolic,Systolic blood pressure of subject. A normal systolic blood pressure is below 120.
Blood Pressure - Diastolic,Health and Family History,Physical Health,BPDiastolic,Diastolic blood pressure of subject. A normal diastolic blood pressure is below 80.
Thyroid Stimulating Hormone,Health and Family History,Physical Health,ThyroidHormone,Amount of thyroid stimulating hormone (TSH) in subject's blood in milliunits per liter (mU/L). A normal range for TSH is 0.4 mU/L to 4.0 mU/L.
Hemoglobin A1C (HbA1C),Health and Family History,Physical Health,HbA1C,Percentage of subject's hemoglobin that is coated with sugar (glycated). Normal A1C level range is 4.5 to 6 percent. Higher than normal levels indicate risk for diabetes.
Hypothyroidism History (Female Participants Only),Health and Family History,Physical Health,Hypothyroidism,"History of Hypothyroidism? Yes = 1, No = 0 (Asked of female participants only) "
Hypothyroidism History - Age at onset (Female Participants Only),Health and Family History,Physical Health,Hypothyroidism_Onset,"Age in years of hypothyroidism onset, if applicable (Asked of female participants only) "
Hyperthyroidism  History (Female Participants Only),Health and Family History,Physical Health,Hyperthyroidism,"History of Hyperthyroidism? Yes = 1, No = 0 (Asked of female participants only)"
Hyperthyroidism History - Age at onset (Female Participants Only),Health and Family History,Physical Health,Hyperthyroidism_Onset,"Age in years of hyperthyroidism onset, if applicable (Asked of female participants only) "
Other Endocrine Problem History (Female Participants Only),Health and Family History,Physical Health,OtherEndocrn_Prob,"History of other endocrine disorder? Yes = 1, No = 0 (Asked of female participants only)"
Other Endocrine Problem History - Age at onset (Female Participants Only),Health and Family History,Physical Health,OtherEndocrine_ProbOnset,"Age in years of other endocrine disorder onset, if applicable (Asked of female participants only) "
Menstrual History - Regular cycles (Female Participants Only),Health and Family History,Physical Health,Menstrual_RegCycles,Does the participant report having regular menstrual cycles? (Asked of female participants only) 
Menstrual History - Explain (If not having regular cycles) (Female Participants Only),Health and Family History,Physical Health,Menstrual_Explain,"If participant is not having regular menstrual cycles, explain possible reasons why. (Asked of female participants only) "
Menstrual History - Age Cycle Began (Female Participants Only),Health and Family History,Physical Health,Menstrual_AgeBegan,Participant's age at first menstrual cycle. (Asked of female participants only) 
Menstrual History - Cycle Length (between start dates) (Female Participants Only),Health and Family History,Physical Health,Menstrual_CycleLength,Average length of participant's menstrual cycles in days. (Asked of female participants only) 
Menstrual History - Days Since Last Period (Female Participants Only),Health and Family History,Physical Health,Menstrual_DaysSinceLast,Number of days since last menstrual period occurred. (Asked of female participants only) 
Menstrual History - Age Cycles Became Irregular (Female Participants Only),Health and Family History,Physical Health,Menstrual_AgeIrreg,Participant's age when menstrual cycles became irregular in length? (Asked of female participants only) 
Menstrual History - Age Cycles Stopped (Female Participants Only),Health and Family History,Physical Health,Menstrual_AgeStop,Participant's age when menstrual cycles stopped. (Asked of female participants only) 
"Menstrual History - If amenorrheic, months since menarche (Female Participants Only)",Health and Family History,Physical Health,Menstrual_MonthsSinceStop,"If participant is amenorrheic, months since menarche (cycle stopped). (Asked of female participants only) "
"Menstrual History - Using birth control pills, progesterone, or fertility drugs (Female Participants Only)",Health and Family History,Physical Health,Menstrual_UsingBirthControl,"Is participant using birth control pills, progesterone, or fertility drugs? Yes = 1, No = 0 (Asked of female participants only) "
Menstrual History- Birth control/Fertility drug code (Female Participants Only),Health and Family History,Physical Health,Menstrual_BirthControlCode,"What birth control, progesterone, or fertility drugs is the participant using? 1=OC's for contraception, 2=OC's primarily for menstrual regulation, 3=estradiol for menstrual regulation, 4=progesterone for menstrual regulation, 5=fertility therapy, 6=other, 7=unknown  (Asked of female participants only) "
Mother Schizophrenia or Psychosis,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Moth_Scz,"Does the participant report that their mother had schizophrenia or psychosis. Yes = 1, No = 0"
Father Schizophrenia or Psychosis,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Fath_Scz,"Does the participant report that their father had schizophrenia or psychosis. Yes = 1, No = 0"
Mother Depression,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Moth_Dep,"Does the participant report that their mother had depression. Yes = 1, No = 0"
Father Depression,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Fath_Dep,"Does the participant report that their father had depression. Yes = 1, No = 0"
Mother Bipolar Disorder,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Moth_BP,"Does the participant report that their mother had bipolar disorder. Yes = 1, No = 0"
Father Bipolar Disorder,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Fath_BP,"Does the participant report that their father had bipolar disorder. Yes = 1, No = 0"
Mother Anxiety Needing Treatment,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Moth_Anx,"Does the participant report that their mother had anxiety. Yes = 1, No = 0"
Father Anxiety Needing Treatment,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Fath_Anx,"Does the participant report that their father had anxiety. Yes = 1, No = 0"
Mother Drug or Alcohol Problems,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Moth_DrgAlc,"Does the participant report that their mother had drug or alcohol problems. Yes = 1, No = 0"
Father Drug or Alcohol Problems,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Fath_DrgAlc,"Does the participant report that their father had drug or alcohol problems. Yes = 1, No = 0"
Mother Alzheimer's or Dementia,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Moth_Alz,"Does the participant report that their mother had Alzheimer's Disease or dementia. Yes = 1, No = 0"
Father Alzheimer's or Dementia,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Fath_Alz,"Does the participant report that their father had Alzheimer's Disease or dementia. Yes = 1, No = 0"
Mother Parkinson's Disease,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Moth_PD,"Does the participant report that their mother had Parkinson's Disease. Yes = 1, No = 0"
Father Parkinson's Disease,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Fath_PD,"Does the participant report that their father had Parkinson's Disease. Yes = 1, No = 0"
Mother Tourette's Syndrome,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Moth_TS,"Does the participant report that their mother had Tourette's Syndrome. Yes = 1, No = 0"
Father Tourette's Syndrome,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Fath_TS,"Does the participant report that their father had Tourette's Syndrome. Yes = 1, No = 0"
Mother None of the Above,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Moth_None,"Does the participant report that their mother had none of the previously listed disorders? Yes = 1, No = 0"
Father None of the Above,Health and Family History,Family History of Psychiatric and Neurologic Disorders,FamHist_Fath_None,"Does the participant report that their father had none of the previously listed disorders? Yes = 1, No = 0"
Mini Mental Status Exam Total Score,Alertness,Cognitive Status (Mini Mental Status Exam),MMSE_Score,"Mini Mental Status Exam (MMSE) Total Score. This is a broad measure of cognitive status (Folstein et al., 1975)."
Sleep (Pittsburgh Sleep Questionnaire) Total Score,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Score,"The total score across all items on the Pittsburgh Sleep Quality Index (PSQI) (Buysse et al., 1989)."
Sleep (Pittsburgh Sleep Questionnaire) Component 1 Score,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Comp1,"The Pittsburgh Sleep Quality Index (PSQI) Component 1 (Subjective sleep quality) score (Buysse et al., 1989)."
Sleep (Pittsburgh Sleep Questionnaire) Component 2 Score,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Comp2,"The Pittsburgh Sleep Quality Index (PSQI) Component 2 (Sleep latency) score (Buysse et al., 1989)."
Sleep (Pittsburgh Sleep Questionnaire) Component 3 Score,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Comp3,"The Pittsburgh Sleep Quality Index (PSQI) Component 3 (Subjective sleep quality) score (Buysse et al., 1989)."
Sleep (Pittsburgh Sleep Questionnaire) Component 4 Score,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Comp4,"The Pittsburgh Sleep Quality Index (PSQI) Component 4 (Sleep duration) score (Buysse et al., 1989)."
Sleep (Pittsburgh Sleep Questionnaire) Component 5 Score,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Comp5,"The Pittsburgh Sleep Quality Index (PSQI) Component 5 (Sleep disturbance) score (Buysse et al., 1989)."
Sleep (Pittsburgh Sleep Questionnaire) Component 6 Score,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Comp6,"The Pittsburgh Sleep Quality Index (PSQI) Component 6 (Use of sleep meds) score (Buysse et al., 1989)."
Sleep (Pittsburgh Sleep Questionnaire) Component 7 Score,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Comp7,"The Pittsburgh Sleep Quality Index (PSQI) Component 7 (Daytime dysfunction) score (Buysse et al., 1989)."
1. Usual bed time (past month),Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_BedTime,"PSQI 1. During the past month, when have you usually gone to bed at night?  Time in 24h:00min."
