"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL"
"1","Tantalus","8","98","4.585"
"1","tantamount","10","607","6.409"
"1","tantrums","8","436","6.078"
"1","Taoism","6","390","5.966"
"1","Taoist","6","432","6.068"
"1","Taoists","7","97","4.575"
"1","tape","4","61,126","11.021"
"1","taper","5","963","6.870"
"1","tapes","5","23,060","10.046"
"1","tapping","7","2,056","7.629"
"1","tar","3","8,295","9.023"
"1","tardiness","9","79","4.369"
"1","tare","4","62","4.127"
"1","target","6","29,601","10.296"
"1","tarnish","7","244","5.497"
"1","tarpaulin","9","20","2.996"
"1","tarragon","8","127","4.844"
"1","tarry","5","177","5.176"
"1","tarsal","6","3","1.099"
"1","tartan","6","459","6.129"
"1","Tasmania","8","1,025","6.932"
"1","tassels","7","28","3.332"
"1","tasteful","8","502","6.219"
"1","tattered","8","414","6.026"
"1","taunted","7","275","5.617"
"1","tautology","9","416","6.031"
"1","taxation","8","4,192","8.341"
"1","taxed","5","3,249","8.086"
"1","taxiing","7","78","4.357"
"1","taximeter","9","1","0.000"
"1","teabag","6","49","3.892"
"1","teach","5","22,492","10.021"
"1","teacher","7","16,947","9.738"
"1","teachers","8","12,939","9.468"
"1","teaches","7","4,574","8.428"
"1","teahouses","9","7","1.946"
"1","teakettle","9","18","2.890"
"1","team","4","108,529","11.595"
"1","team's","6","1,294","7.165"
"1","teammate","8","544","6.299"
"1","teamsters","9","168","5.124"
"1","tearaway","8","8","2.079"
"1","tears","5","9,280","9.136"
"1","teaser","6","435","6.075"
"1","teaspoon","8","1,546","7.343"
"1","teats","5","87","4.466"
"1","tech","4","45,962","10.736"
"1","technicality","12","441","6.089"
"1","technician","10","5,039","8.525"
"1","technicians","11","2,260","7.723"
"1","techniques","10","27,258","10.213"
"1","technocracy","11","109","4.691"
"1","teddy","5","2,632","7.875"
"1","teen","4","4,196","8.342"
"1","teenagers","9","2,688","7.897"
"1","teensy","6","221","5.398"
"1","teeth","5","10,942","9.300"
"1","teethe","6","1","0.000"
"1","teetotaller","11","6","1.792"
"1","telecommunications","18","22,078","10.002"
"1","telegraphed","11","57","4.043"
"1","telegraphers","12","10","2.303"
"1","telepathic","10","1,809","7.501"
"1","telepathy","9","858","6.755"
"1","teleprompter","12","91","4.511"
"1","teletype","8","183","5.209"
"1","television","10","22,560","10.024"
"1","telly","5","363","5.894"
"1","temerity","8","185","5.220"
"1","tempera","7","51","3.932"
"1","temperature","11","14,257","9.565"
"1","template","8","6,294","8.747"
"1","temporarily","11","4,942","8.506"
"1","temporize","9","15","2.708"
"1","temptation","10","2,650","7.882"
"1","temptress","9","97","4.575"
"1","tenable","7","114","4.736"
"1","tenacious","9","245","5.501"
"1","tenaciously","11","149","5.004"
"1","tenancy","7","153","5.030"
"1","tend","4","31,395","10.354"
"1","tenderloin","10","114","4.736"
"1","tenderly","8","431","6.066"
"1","tendon","6","631","6.447"
"1","tendons","7","532","6.277"
"1","tendril","7","96","4.564"
"1","tenet","5","450","6.109"
"1","Tennessee's","11","29","3.367"
"1","tennis","6","6,412","8.766"
"1","tenor","5","1,490","7.307"
"1","tenors","6","306","5.724"
"1","tens","4","4,550","8.423"
"1","tensional","9","3","1.099"
"1","tentacles","9","927","6.832"
"1","tenure","6","1,463","7.288"
"1","terminate","9","2,922","7.980"
"1","terminated","10","3,279","8.095"
"1","terminating","11","920","6.824"
"1","terms","5","49,922","10.818"
"1","terracotta","10","40","3.689"
"1","terrains","8","162","5.088"
"1","terrestrial","11","1,292","7.164"
"1","terrified","9","1,899","7.549"
"1","territorial","11","2,210","7.701"
"1","terror","6","8,576","9.057"
"1","terrorist","9","4,000","8.294"
"1","terrorize","9","402","5.996"
"1","terrorized","10","243","5.493"
"1","terrorizing","11","257","5.549"
"1","tersely","7","81","4.394"
"1","Tess","4","407","6.009"
"1","tested","6","17,025","9.742"
"1","tester","6","2,660","7.886"
"1","testes","6","277","5.624"
"1","testily","7","26","3.258"
"1","testimonials","12","732","6.596"
"1","tetanus","7","592","6.384"
"1","tethered","8","158","5.063"
"1","Tex","3","10,129","9.223"
"1","Texans","6","480","6.174"
"1","Texas","5","44,548","10.704"
"1","text","4","124,115","11.729"
"1","textbooks","9","1,947","7.574"
"1","textual","7","1,250","7.131"
"1","texture","7","5,678","8.644"
"1","thank","5","95,706","11.469"
"1","thanked","7","1,087","6.991"
"1","thankful","8","2,279","7.731"
"1","thankfulness","12","164","5.100"
"1","thanking","8","1,553","7.348"
"1","thatches","8","0","0.000"
"1","theatergoers","12","3","1.099"
"1","theatre","7","10,455","9.255"
"1","theatricals","11","10","2.303"
"1","thee","4","4,731","8.462"
"1","them","4","801,560","13.594"
"1","thematic","8","613","6.418"
"1","thenceforth","11","24","3.178"
"1","theocracy","9","385","5.953"
"1","theorem","7","2,220","7.705"
"1","theoretician's","14","1","0.000"
"1","theorizing","10","261","5.565"
"1","therapies","9","868","6.766"
"1","therapist","9","2,391","7.779"
"1","there's","7","118,099","11.679"
"1","thereabout","10","9","2.197"
"1","thereon","7","167","5.118"
"1","theretofore","11","21","3.045"
"1","thereupon","9","159","5.069"
"1","thermonuclear","13","223","5.407"
"1","thespian","8","358","5.881"
"1","they'll","7","19,922","9.900"
"1","they're","7","83,503","11.333"
"1","thicken","7","260","5.561"
"1","thickener","9","40","3.689"
"1","thickening","10","122","4.804"
"1","thickest","8","171","5.142"
"1","thicket","7","3,363","8.121"
"1","thickets","8","43","3.761"
"1","thicknesses","11","187","5.231"
"1","thieve","6","15","2.708"
"1","thieving","8","123","4.812"
"1","thingamabob","11","32","3.466"
"1","thinkers","8","1,176","7.070"
"1","thinking","8","64,226","11.070"
"1","thinner","7","1,985","7.593"
"1","thirds","6","997","6.905"
"1","thirsted","8","10","2.303"
"1","thirties","8","774","6.652"
"1","Thompson","8","10,393","9.249"
"1","Thomson","7","2,128","7.663"
"1","Thor","4","3,332","8.111"
"1","Thor's","6","107","4.673"
"1","Thoreau","7","500","6.215"
"1","Thoreau's","9","25","3.219"
"1","thoroughfare","12","52","3.951"
"1","thoroughgoing","13","27","3.296"
"1","thoroughness","12","153","5.030"
"1","Thorpe","6","793","6.676"
"1","those","5","415,648","12.938"
"1","though","6","199,366","12.203"
"1","thoughtfulness","14","122","4.804"
"1","thousandfold","12","35","3.555"
"1","thrash","6","1,137","7.036"
"1","thrashed","8","545","6.301"
"1","threat","6","18,510","9.826"
"1","threatening","11","5,532","8.618"
"1","threatens","9","2,197","7.695"
"1","threefold","9","224","5.412"
"1","threepence","10","5","1.609"
"1","threes","6","311","5.740"
"1","thresh","6","39","3.664"
"1","thrill","6","2,569","7.851"
"1","thriller","8","726","6.588"
"1","thrilling","9","562","6.332"
"1","thrive","6","1,410","7.251"
"1","thrived","7","266","5.583"
"1","throat's","8","30","3.401"
"1","throats","7","1,330","7.193"
"1","throaty","7","144","4.970"
"1","throes","6","432","6.068"
"1","thrombosis","10","64","4.159"
"1","throughout","10","28,623","10.262"
"1","throwback","9","288","5.663"
"1","thrower","7","895","6.797"
"1","thrown","6","10,415","9.251"
"1","throws","6","4,598","8.433"
"1","thru","4","16,480","9.710"
"1","thrush","6","237","5.468"
"1","thrust","6","5,244","8.565"
"1","thruster","8","177","5.176"
"1","thud","4","465","6.142"
"1","thuds","5","33","3.497"
"1","thumbs","6","1,793","7.492"
"1","thunder","7","7,624","8.939"
"1","thundered","9","103","4.635"
"1","thundering","10","283","5.645"
"1","Thursday's","10","365","5.900"
"1","thwack","6","128","4.852"
"1","thwart","6","506","6.227"
"1","thwarting","9","125","4.828"
"1","thyme","5","373","5.922"
"1","thyroids","8","11","2.398"
"1","Tiber","5","139","4.934"
"1","Tibet","5","3,881","8.264"
"1","tibia","5","61","4.111"
"1","tic","3","788","6.669"
"1","tickertape","10","9","2.197"
"1","tickets","7","15,851","9.671"
"1","tickled","7","766","6.641"
"1","tidal","5","3,515","8.165"
"1","tidbits","7","1,410","7.251"
"1","tide","4","3,977","8.288"
"1","tides","5","922","6.827"
"1","tidy","4","815","6.703"
"1","tiebreaker","10","153","5.030"
"1","tier","4","1,352","7.209"
"1","tiger","5","5,393","8.593"
"1","tight","5","19,366","9.871"
"1","tightfisted","11","4","1.386"
"1","tigress","7","255","5.541"
"1","Tijuana","7","353","5.866"
"1","tilled","6","66","4.190"
"1","tiller","6","309","5.733"
"1","tilted","6","944","6.850"
"1","tilth","5","18","2.890"
"1","Tim's","5","797","6.681"
"1","timberline","10","627","6.441"
"1","times","5","156,832","11.963"
"1","timetable","9","795","6.678"
"1","timid","5","739","6.605"
"1","timorous","8","20","2.996"
"1","tines","5","188","5.236"
"1","tingle","6","321","5.771"
"1","tingling","8","601","6.399"
"1","tinkled","7","14","2.639"
"1","tinny","5","203","5.313"
"1","tinsel","6","141","4.949"
"1","tiny","4","15,764","9.665"
"1","Tippecanoe","10","28","3.332"
"1","tirades","7","264","5.576"
"1","tire","4","6,155","8.725"
"1","tiredly","7","50","3.912"
"1","tiredness","9","141","4.949"
"1","tireless","8","292","5.677"
"1","tires","5","8,115","9.001"
"1","tissue","6","14,342","9.571"
"1","titan","5","2,713","7.906"
"1","titanic","7","765","6.640"
"1","titer","5","76","4.331"
"1","titers","6","61","4.111"
"1","tithe","5","316","5.756"
"1","tithes","6","177","5.176"
"1","titillate","9","34","3.526"
"1","titter","6","27","3.296"
"1","tizzy","5","119","4.779"
"1","toadstool","9","38","3.638"
"1","toady","5","104","4.644"
"1","Tobago","6","381","5.943"
"1","today's","7","13,651","9.522"
"1","toddlers","8","630","6.446"
"1","toddy","5","96","4.564"
"1","toehold","7","42","3.738"
"1","toenail","7","134","4.898"
"1","toffee","6","100","4.605"
"1","togetherness","12","112","4.718"
"1","toggle","6","1,962","7.582"
"1","toilet","6","5,523","8.617"
"1","toiletry","8","14","2.639"
"1","token","5","7,311","8.897"
"1","Tokyo","5","7,174","8.878"
"1","tolerating","10","271","5.602"
"1","Tolstoy","7","266","5.583"
"1","Tolstoy's","9","52","3.951"
"1","Tom","3","62,374","11.041"
"1","Tom's","5","1,024","6.931"
"1","tomb","4","6,175","8.728"
"1","tomblike","8","2","0.693"
"1","tombs","5","501","6.217"
"1","tombstone","9","554","6.317"
"1","tombstones","10","1,801","7.496"
"1","tome","4","5,933","8.688"
"1","Tommie","6","85","4.443"
"1","Tommy","5","5,983","8.697"
"1","tomtom","6","4","1.386"
"1","tone","4","14,823","9.604"
"1","toner","5","1,809","7.501"
"1","tonics","6","80","4.382"
"1","tonight","7","13,398","9.503"
"1","tonight's","9","811","6.698"
"1","tonsillitis","11","2","0.693"
"1","Tony","4","27,385","10.218"
"1","took","4","87,271","11.377"
"1","tooling","7","813","6.701"
"1","toolmaker","9","20","2.996"
"1","tools","5","60,656","11.013"
"1","toot","4","256","5.545"
"1","toothless","9","160","5.075"
"1","toothpaste","10","714","6.571"
"1","toothsome","9","14","2.639"
"1","tootle","6","23","3.135"
"1","tootsie","7","137","4.920"
"1","tootsy","6","0","0.000"
"1","topcoats","8","4","1.386"
"1","topmost","7","205","5.323"
"1","topnotch","8","33","3.497"
"1","topography","10","374","5.924"
"1","topping","7","735","6.600"
"1","topsail","7","40","3.689"
"1","tore","4","1,614","7.386"
"1","torment","7","2,703","7.902"
"1","tormented","9","445","6.098"
"1","tormentor","9","107","4.673"
"1","torn","4","4,160","8.333"
"1","Toronto","7","20,291","9.918"
"1","torrential","10","98","4.585"
"1","torrents","8","78","4.357"
"1","torrid","6","152","5.024"
"1","torridity","9","0","0.000"
"1","tortoise","8","2,454","7.805"
"1","tortoiseshell","13","93","4.533"
"1","total","5","70,437","11.162"
"1","totalistic","10","22","3.091"
"1","totality","8","731","6.594"
"1","totally","7","38,619","10.561"
"1","Toto","4","835","6.727"
"1","totter","6","32","3.466"
"1","touchstone","10","293","5.680"
"1","touchy","6","810","6.697"
"1","tougher","7","2,082","7.641"
"1","toughie","7","139","4.934"
"1","toupee","6","180","5.193"
"1","tourist's","9","44","3.784"
"1","tournaments","11","4,274","8.360"
"1","tourney","7","3,393","8.129"
"1","tout","4","2,704","7.902"
"1","towel","5","3,399","8.131"
"1","towels","6","1,266","7.144"
"1","towline","7","47","3.850"
"1","townscape","9","2","0.693"
"1","townspeople","11","143","4.963"
"1","toying","6","554","6.317"
"1","traces","6","2,937","7.985"
"1","tracings","8","45","3.807"
"1","tracker","7","2,795","7.936"
"1","trackless","9","24","3.178"
"1","tracksuit","9","15","2.708"
"1","tractable","9","138","4.927"
"1","traction","8","1,475","7.296"
"1","tractor","7","1,609","7.383"
"1","tracts","6","831","6.723"
"1","tradesman","9","53","3.970"
"1","tradespeople","12","9","2.197"
"1","tradition","9","13,864","9.537"
"1","traditionalist","14","202","5.308"
"1","traditionally","13","3,467","8.151"
"1","trafficker","10","75","4.317"
"1","tragedies","9","504","6.223"
"1","tragically","10","633","6.450"
"1","trail","5","11,055","9.311"
"1","trailed","7","427","6.057"
"1","train","5","23,376","10.059"
"1","trains","6","6,196","8.732"
"1","traipse","7","23","3.135"
"1","traitors","8","644","6.468"
"1","tramcar","7","0","0.000"
"1","tramp","5","656","6.486"
"1","tramway","7","45","3.807"
"1","tranquilizers","13","139","4.934"
"1","tranquillity","12","138","4.927"
"1","transcendent","12","467","6.146"
"1","transcendental","14","1,958","7.580"
"1","transcendentalism","17","15","2.708"
"1","transcendentalists","18","38","3.638"
"1","transcends","10","584","6.370"
"1","transcontinental","16","149","5.004"
"1","transferee","10","35","3.555"
"1","transferred","11","5,027","8.523"
"1","transfix","8","7","1.946"
"1","transformers","12","2,293","7.738"
"1","transfuse","9","5","1.609"
"1","transfusion","11","474","6.161"
"1","transience","10","23","3.135"
"1","transistors","11","1,563","7.354"
"1","transit","7","3,580","8.183"
"1","transitive","10","198","5.288"
"1","translation","11","15,030","9.618"
"1","translator","10","3,036","8.018"
"1","translucent","11","508","6.230"
"1","transmissible","13","77","4.344"
"1","transmits","9","2,046","7.624"
"1","transmitting","12","2,448","7.803"
"1","transoceanic","12","46","3.829"
"1","transparent","11","5,589","8.629"
"1","transpired","10","415","6.028"
"1","transplantable","14","5","1.609"
"1","transplantation","15","750","6.620"
"1","transport","9","12,959","9.470"
"1","transported","11","1,640","7.402"
"1","transports","10","1,372","7.224"
"1","transsexual","11","417","6.033"
"1","transverse","10","401","5.994"
"1","transversely","12","29","3.367"
"1","trapezoid","9","57","4.043"
"1","trapper's","9","18","2.890"
"1","trashcan","8","494","6.203"
"1","traveler","8","2,049","7.625"
"1","traveller","9","1,765","7.476"
"1","travellers","10","1,323","7.188"
"1","travelogues","11","95","4.554"
"1","traverse","8","968","6.875"
"1","traversed","9","231","5.442"
"1","traversing","10","295","5.687"
"1","travesty","8","555","6.319"
"1","trawl","5","63","4.143"
"1","trawler","7","130","4.868"
"1","treacheries","11","6","1.792"
"1","treacherous","11","386","5.956"
"1","treason","7","1,613","7.386"
"1","treasonous","10","207","5.333"
"1","treasury's","10","58","4.060"
"1","treated","7","16,187","9.692"
"1","treaties","8","1,861","7.529"
"1","treatments","10","4,088","8.316"
"1","treelike","8","11","2.398"
"1","trek","4","30,117","10.313"
"1","trekked","7","34","3.526"
"1","trellis","7","252","5.529"
"1","tremendous","10","7,325","8.899"
"1","trenchant","9","36","3.584"
"1","trendy","6","943","6.849"
"1","trespassed","10","46","3.829"
"1","trespasser","10","56","4.025"
"1","tress","5","168","5.124"
"1","trial","5","19,700","9.888"
"1","tribal","6","2,650","7.882"
"1","tribe's","7","99","4.595"
"1","tribesman","9","68","4.220"
"1","tribunal","8","2,386","7.777"
"1","tribute","7","3,239","8.083"
"1","tricked","7","663","6.497"
"1","trickery","8","453","6.116"
"1","trickle","7","1,586","7.369"
"1","tricks","6","8,331","9.028"
"1","trill","5","269","5.595"
"1","trillion","8","2,704","7.902"
"1","trillionth","10","6","1.792"
"1","trilogy","7","3,639","8.199"
"1","trimester","9","701","6.553"
"1","trimmed","7","2,299","7.740"
"1","trimmer","7","245","5.501"
"1","trinket","7","59","4.078"
"1","triplicate","10","142","4.956"
"1","tripod","6","1,040","6.947"
"1","trips","5","6,858","8.833"
"1","tripwire","8","90","4.500"
"1","trisect","7","11","2.398"
"1","triumph","7","3,469","8.152"
"1","trivia","6","3,946","8.280"
"1","trivial","7","6,600","8.795"
"1","Trojan","6","1,186","7.078"
"1","troop","5","2,299","7.740"
"1","trooper","7","1,773","7.480"
"1","troopships","10","11","2.398"
"1","tropic","6","176","5.170"
"1","tropical","8","7,921","8.977"
"1","tropics","7","389","5.964"
"1","troupe","6","362","5.892"
"1","Troy","4","5,813","8.668"
"1","truancy","7","28","3.332"
"1","truck","5","10,203","9.230"
"1","trucked","7","110","4.700"
"1","trucker","7","251","5.525"
"1","trudged","7","77","4.344"
"1","TRUE","4","0","0.000"
"1","truer","5","324","5.781"
"1","truly","5","30,729","10.333"
"1","truncated","9","1,758","7.472"
"1","trunk","5","3,272","8.093"
"1","trust","5","29,358","10.287"
"1","trusting","8","1,551","7.347"
"1","trusts","6","1,109","7.011"
"1","truthful","8","1,203","7.093"
"1","try","3","272,681","12.516"
"1","trying","6","159,951","11.983"
"1","tryst","5","106","4.663"
"1","tsar","4","551","6.312"
"1","tub","3","2,579","7.855"
"1","tuba","4","415","6.028"
"1","tuber","5","100","4.605"
"1","tubers","6","113","4.727"
"1","tubes","5","6,989","8.852"
"1","tubing","6","2,409","7.787"
"1","tubs","4","333","5.808"
"1","tucking","7","169","5.130"
"1","Tucson","6","3,578","8.183"
"1","tuition","7","3,629","8.197"
"1","tummy","5","945","6.851"
"1","tune","4","12,260","9.414"
"1","tuned","5","5,101","8.537"
"1","tunefulness","11","3","1.099"
"1","tunic","5","304","5.717"
"1","Tunisia","7","615","6.422"
"1","tunnel","6","7,452","8.916"
"1","tunnels","7","1,505","7.317"
"1","turban","6","268","5.591"
"1","turbidity","9","42","3.738"
"1","turbine","7","1,035","6.942"
"1","turbines","8","409","6.014"
"1","turbojet","8","64","4.159"
"1","turf","4","1,128","7.028"
"1","Turkish","7","12,314","9.418"
"1","turmeric","8","248","5.513"
"1","turnabout","9","199","5.293"
"1","turncoat","8","53","3.970"
"1","turner","6","5,770","8.660"
"1","turnips","7","152","5.024"
"1","turnkey","7","701","6.553"
"1","turnoff","7","162","5.088"
"1","turnover","8","1,264","7.142"
"1","turquoise","9","368","5.908"
"1","turtledove","10","118","4.771"
"1","tusk","4","218","5.384"
"1","tussle","6","92","4.522"
"1","tutelage","8","136","4.913"
"1","tuxedoed","8","4","1.386"
"1","Twain","5","3,182","8.065"
"1","Twain's","7","92","4.522"
"1","twelfth","7","506","6.227"
"1","twiddle","7","4,721","8.460"
"1","twilight","8","2,616","7.869"
"1","twin","4","7,940","8.980"
"1","twined","6","51","3.932"
"1","twinge","6","220","5.394"
"1","twinkling","9","208","5.338"
"1","twins","5","3,742","8.227"
"1","twirler","7","5","1.609"
"1","twirling","8","193","5.263"
"1","twist","5","9,435","9.152"
"1","twists","6","1,082","6.987"
"1","twitch","6","786","6.667"
"1","twitter","7","29","3.367"
"1","twofaced","8","5","1.609"
"1","twofold","7","316","5.756"
"1","typed","5","5,642","8.638"
"1","typewriting","11","14","2.639"
"1","typicality","10","1","0.000"
"1","typified","8","145","4.977"
"1","typing","6","12,039","9.396"
"1","typography","10","484","6.182"
"1","tyrannical","10","538","6.288"
"1","ubiquitous","10","914","6.818"
"1","ugh","3","1,931","7.566"
"1","uglier","6","349","5.855"
"1","ukulele","7","64","4.159"
"1","ulcerate","8","4","1.386"
"1","ulcerated","9","13","2.565"
"1","ultimate","8","16,369","9.703"
"1","ultrasonic","10","566","6.339"
"1","umbrella","8","1,930","7.565"
"1","unabated","8","208","5.338"
"1","unaccompanied","13","165","5.106"
"1","unacknowledged","14","105","4.654"
"1","unadjusted","10","26","3.258"
"1","unadorned","9","77","4.344"
"1","unafraid","8","103","4.635"
"1","unanimity","9","147","4.990"
"1","unanimously","11","625","6.438"
"1","unannounced","11","315","5.753"
"1","unapproachable","14","29","3.367"
"1","unarm","5","6","1.792"
"1","unasked","7","87","4.466"
"1","unassisted","10","212","5.357"
"1","unasterisked","12","1","0.000"
"1","unattractive","12","595","6.389"
"1","unauthentic","11","8","2.079"
"1","unavailable","11","3,738","8.226"
"1","unavailing","10","16","2.773"
"1","unavoidable","11","950","6.856"
"1","unaware","7","3,882","8.264"
"1","unbeaten","8","238","5.472"
"1","unbeknownst","11","239","5.476"
"1","unbelieving","11","127","4.844"
"1","unbidden","8","59","4.078"
"1","uncaused","8","39","3.664"
"1","unceremonious","13","8","2.079"
"1","uncertified","11","62","4.127"
"1","uncharitable","12","55","4.007"
"1","uncharted","9","267","5.587"
"1","unchecked","9","705","6.558"
"1","unchristian","11","69","4.234"
"1","uncivil","7","116","4.754"
"1","unclad","6","25","3.219"
"1","unclean","7","601","6.399"
"1","unclear","7","3,993","8.292"
"1","unclenched","10","11","2.398"
"1","uncolored","9","40","3.689"
"1","uncomforted","11","1","0.000"
"1","uncommon","8","19,316","9.869"
"1","uncommonly","10","108","4.682"
"1","uncommunicative","15","39","3.664"
"1","uncomplainingly","15","0","0.000"
"1","uncorked","8","34","3.526"
"1","uncourageous","12","0","0.000"
"1","uncut","5","1,267","7.144"
"1","undamaged","9","345","5.844"
"1","undated","7","61","4.111"
"1","undedicated","11","2","0.693"
"1","undefined","9","3,621","8.195"
"1","undemonstrative","15","3","1.099"
"1","undeniably","10","389","5.964"
"1","undependable","12","35","3.555"
"1","under","5","250,435","12.431"
"1","underarm","8","125","4.828"
"1","underbid","8","23","3.135"
"1","underbrush","10","90","4.500"
"1","underclassman","13","12","2.485"
"1","undercurrent","12","150","5.011"
"1","underdeveloped","14","379","5.938"
"1","underdone","9","15","2.708"
"1","undereducated","13","261","5.565"
"1","underexposure","13","51","3.932"
"1","underfloor","10","12","2.485"
"1","undergoes","9","275","5.617"
"1","undergrad","9","1,568","7.358"
"1","undergraduate","13","4,700","8.455"
"1","underground","11","11,952","9.389"
"1","underhung","9","11","2.398"
"1","underlay","8","59","4.078"
"1","underlie","8","188","5.236"
"1","underlies","9","215","5.371"
"1","underling","9","114","4.736"
"1","undermanned","11","26","3.258"
"1","undermining","11","568","6.342"
"1","underneath","10","5,193","8.555"
"1","underpaid","9","363","5.894"
"1","underpay","8","16","2.773"
"1","underpin","8","41","3.714"
"1","underpins","9","33","3.497"
"1","underrate","9","54","3.989"
"1","underscore","10","686","6.531"
"1","underscored","11","247","5.509"
"1","undersecretary","14","124","4.820"
"1","undersexed","10","15","2.708"
"1","undershirt","10","61","4.111"
"1","undersize","9","29","3.367"
"1","undersized","10","167","5.118"
"1","understanded","12","2","0.693"
"1","understanding","13","39,902","10.594"
"1","understates","11","47","3.850"
"1","understood","10","13,517","9.512"
"1","understudy","10","151","5.017"
"1","undertaken","10","1,551","7.347"
"1","undertaker","10","556","6.321"
"1","undertone","9","61","4.111"
"1","undertow","8","1,581","7.366"
"1","undervalue","10","41","3.714"
"1","underwater","10","2,479","7.816"
"1","underwear","9","3,400","8.132"
"1","underweight","11","109","4.691"
"1","underworld","10","5,785","8.663"
"1","underwrite","10","205","5.323"
"1","undetected","10","489","6.192"
"1","undetermined","12","361","5.889"
"1","undigested","10","80","4.382"
"1","undimmed","8","8","2.079"
"1","undistinguished","15","62","4.127"
"1","undivided","9","287","5.659"
"1","undo","4","2,398","7.782"
"1","undock","6","3","1.099"
"1","undoing","7","2,170","7.682"
"1","undone","6","692","6.540"
"1","undreamt","8","15","2.708"
"1","undressed","9","530","6.273"
"1","undulated","9","43","3.761"
"1","unduly","6","429","6.061"
"1","undying","7","376","5.930"
"1","unease","6","163","5.094"
"1","uneasiness","10","123","4.812"
"1","uneconomic","10","53","3.970"
"1","uneducated","10","1,235","7.119"
"1","unemployment","12","5,064","8.530"
"1","unenlightened","13","314","5.749"
"1","unequal","7","781","6.661"
"1","unequivocally","13","500","6.215"
"1","unerring","8","75","4.317"
"1","unexpectedly","12","1,098","7.001"
"1","unexpended","10","7","1.946"
"1","unexplainable","13","214","5.366"
"1","unfaithful","10","233","5.451"
"1","unfathomable","12","192","5.257"
"1","unfavorable","11","498","6.211"
"1","unfeeling","9","184","5.215"
"1","unfoldment","10","160","5.075"
"1","unfolds","7","278","5.628"
"1","unforseen","9","251","5.525"
"1","unfortunate","11","6,083","8.713"
"1","unfrocking","10","0","0.000"
"1","ungainly","8","87","4.466"
"1","ungenerous","10","20","2.996"
"1","unglamorous","11","29","3.367"
"1","ungodly","7","325","5.784"
"1","unhand","6","6","1.792"
"1","unhappily","9","156","5.050"
"1","unhappiness","11","493","6.201"
"1","unhappy","7","3,795","8.241"
"1","unhealthy","9","1,277","7.152"
"1","unholy","6","3,945","8.280"
"1","unhurriedly","11","9","2.197"
"1","unidentified","12","1,406","7.249"
"1","unidirectional","14","178","5.182"
"1","unification","11","2,629","7.874"
"1","unifies","7","164","5.100"
"1","uniformly","9","1,029","6.936"
"1","uniforms","8","2,674","7.891"
"1","unimaginable","12","358","5.881"
"1","unimpaired","10","33","3.497"
"1","unimpeachably","13","3","1.099"
"1","unimpressive","12","180","5.193"
"1","uninitiate","10","10","2.303"
"1","uninominal","10","4","1.386"
"1","unintended","10","568","6.342"
"1","uninterruptedly","15","7","1.946"
"1","unions","6","4,016","8.298"
"1","unique","6","24,825","10.120"
"1","unison","6","860","6.757"
"1","unit","4","42,634","10.660"
"1","Unitarian","9","476","6.165"
"1","Unitarians","10","83","4.419"
"1","universe","8","35,314","10.472"
"1","university","10","238,281","12.381"
